10027 | ঝাঁক বেঁধে এরা আসে। | ঝাঁক বেঁধে এরা আসে।
10028 | দেখতে এরা খুব সুন্দর। | দেখতে এরা খুব সুন্দর!
10029 | এদের কূজন-গুঞ্জন মনোমুগ্ধকর। | এদের কূজন-গুঞ্জন মনোমুগ্ধকর।
10030 | হৃদয়ে শান্তি-সুখের হিল্লোল সৃষ্টিকারী। | হৃদয়ে শান্তি-সুখের হিল্লোল সৃষ্টিকারী।
10031 | অতিথি পাখি সুন্দর পরিবেশ সৃষ্টি করে, দর্শকচিত্তকে আনন্দ দেয়, সর্বোপরি পরিবেশের ভারসাম্য রক্ষা করে। | অতিথি পাখি সুন্দর পরিবেশ সৃষ্টি করে, দর্শকচিত্তকে আনন্দ দেয়, সর্বোপরি পরিবেশের ভারসাম্য রক্ষা করে।
10032 | কিন্তু অতিথি পাখি দেখে অনেকেই লোভ সামলাতে পারে না। | কিন্তু অতিথি পাখি দেখে অনেকেই লোভ সামলাতে পারে না।
10033 | জাল বা ফাঁদ পেতে কিংবা উড়ন্ত পাখিকে গুলি করে মারে অবিবেচনাপ্রসূতভাবে। | জাল বা ফাঁদ পেতে কিংবা উড়ন্ত পাখিকে গুলি করে মারে অবিবেচনাপ্রসূতভাবে।
10034 | সমাজের কিছুসংখ্যক দুষ্টু ও বিবেকবান লোক এভাবে পাখি শিকার করে বাজারে চড়াদামে বিক্রি করে ভোজনবিলাসীদের কাছে। | সমাজের কিছুসংখ্যক দুষ্টু ও বিবেকবান লোক এভাবে পাখি শিকার করে বাজারে চড়াদামে বিক্রি করে ভোজনবিলাসীদের কাছে।
10035 | অতিথি পাখি শিকার নিষিদ্ধ জেনেও তারা বিষয়টি থোড়াই কেয়ার করে। | অতিথি পাখি শিকার নিষিদ্ধ জেনেও তারা বিষয়টি থোড়াই কেয়ার করে!
10036 | আমাদের দেশে পাখি শিকারের প্রবণতা বিস্ময়কর রকম বেশি। | আমাদের দেশে পাখি শিকারের প্রবণতা বিস্ময়কর রকম বেশি!
10037 | এতে করে আজ এ দেশের অনেক প্রজাতির পাখি বিলুপ্তির পথে। | এতে করে আজ এ দেশের অনেক প্রজাতির পাখি বিলুপ্তির পথে।
10038 | কোনো কোনো পাখি তো চিরতরে হারিয়ে গেছে। | কোনো কোনো পাখি তো চিরতরে হারিয়ে গেছে।
10039 | অতিথি পাখি উপকারী। | অতিথি পাখি উপকারী।
10040 | পাখিরা নিষ্কলুষ রাখে এ দেশের জীববৈচিত্র্যকে। | পাখিরা নিষ্কলুষ রাখে এ দেশের জীববৈচিত্র্যকে।
10041 | বন-বাগানের শোভা বর্ধন করে। | বন-বাগানের শোভা বর্ধন করে।
10042 | নদী-নালা, খাল-বিল, পুকুরের জমাট জঞ্জাল এরা ঠোঁট দিয়ে পরিষ্কার করে। | নদী-নালা, খাল-বিল, পুকুরের জমাট জঞ্জাল এরা ঠোঁট দিয়ে পরিষ্কার করে।
10043 | ফসল বিনষ্টকারী পোকা খেয়ে ফসল বাঁচায়। | ফসল বিনষ্টকারী পোকা খেয়ে ফসল বাঁচায়।
10044 | বহুদূর থেকে বয়ে এনে নানা বীজ ছড়িয়ে বনে গাছপালা জন্মাতে সাহায্য করে। | বহুদূর থেকে বয়ে এনে নানা বীজ ছড়িয়ে বনে গাছপালা জন্মাতে সাহায্য করে।
10045 | এদের রক্ষা করা জরুরি। | এদের রক্ষা করা জরুরি।
10046 | মো আবদুল আলীম। | মোহাম্মদ আবদুল আলীম।
10047 | কিশোরগঞ্জ, নীলফামারী। | কিশোরগঞ্জ, নীলফামারী।
10048 | মন্ত্রীর কাছে জমি চেয়ে পেল না বিসিবি। | মন্ত্রীর কাছে জমি চেয়ে পেল না বিসিবি!
10049 | ক্রীড়া প্রতিবেদক। | ক্রীড়া প্রতিবেদক।
10050 | অল্পের জন্য ফুটবলে গত বছর যা পারেনি শেখ রাসেল, ক্রিকেটে সেটাই কৃতিত্বের সঙ্গে অর্জন করেছিল ওল্ড ডিওএইচএস ক্রিকেট ক্লাব। | অল্পের জন্য ফুটবলে গত বছর যা পারেনি শেখ রাসেল, ক্রিকেটে সেটাই কৃতিত্বের সঙ্গে অর্জন করেছিল ওল্ড ডিওএইচএস ক্রিকেট ক্লাব।
10051 | ঠিক ভিনি, ভিডি, ভিসি অর্থাৎ এলাম, দেখলাম, জয় করলাম-এর মতো গত বছর প্রথমবারেই প্রিমিয়ার ক্রিকেট লিগে পদার্পণ করে জিতে নেয় শিরোপা। | ঠিক ভিনি, ভিডি, ভিসি অর্থাৎ এলাম, দেখলাম, জয় করলাম - এর মতো গত বছর প্রথমবারেই প্রিমিয়ার ক্রিকেট লিগে পদার্পণ করে জিতে নেয় শিরোপা।
10052 | কাল রাজধানীর হোটেল পূর্বাণীতে সেই জয়েরই পুরস্কার পেল তারা। | কাল রাজধানীর হোটেল পূর্বাণীতে সেই জয়েরই পুরস্কার পেল তারা।
10053 | বিসিবি আয়োজিত পুরস্কার বিতরণী অনুষ্ঠানে ক্রীড়া প্রতিমন্ত্রী ফজলুর রহমানের হাত থেকে দলের অধিনায়ক আকরাম খান ও ম্যানেজার সাইফুল ইসলাম যখন ট্রফি হাতে তুললেন, সেই ট্রফির বিচ্ছুরিত আলোর সঙ্গে একাকার হলো তাদের মুখের হাসি। | বিসিবি আয়োজিত পুরস্কার বিতরণী অনুষ্ঠানে ক্রীড়া প্রতিমন্ত্রী ফজলুর রহমানের হাত থেকে দলের অধিনায়ক আকরাম খান ও ম্যানেজার সাইফুল ইসলাম যখন ট্রফি হাতে তুললেন, সেই ট্রফির বিচ্ছুরিত আলোর সঙ্গে একাকার হলো তাদের মুখের হাসি।
10054 | রানার্সআপ ট্রফি নিয়েছেন সিটি ক্লাব অধিনায়ক খালেদ মাহমুদ। | রানার্সআপ ট্রফি নিয়েছেন সিটি ক্লাব অধিনায়ক খালেদ মাহমুদ।
10055 | তার সঙ্গে ছিলেন ম্যানেজার হোসেন মোল্লা। | তার সঙ্গে ছিলেন ম্যানেজার হোসেন মোল্লা।
10056 | দলীয় ট্রফির বাইরে দু দলের খেলোয়াড়দের ব্যক্তিগত ট্রফিও দেওয়া হয়েছে। | দলীয় ট্রফির বাইরে দুদলের খেলোয়াড়দের ব্যক্তিগত ট্রফিও দেওয়া হয়েছে।
10057 | পুরস্কার বিতরণী অনুষ্ঠানে সভাপতিত্ব করেন সিসিডিএম সভাপতি খন্দকার জামিল উদ্দিন। | পুরস্কার বিতরণী অনুষ্ঠানে সভাপতিত্ব করেন সিসিডিএম সভাপতি খন্দকার জামিল উদ্দিন।
10058 | উপস্থিত ছিলেন স্পনসর গ্রিনডেল্টা ইন্স্যুরেন্স কোম্পানির অতিরিক্ত ব্যবস্থাপনা পরিচালক ফরিদ আহমেদ চৌধুরী। | উপস্থিত ছিলেন স্পনসর গ্রিনডেল্টা ইন্স্যুরেন্স কোম্পানির অতিরিক্ত ব্যবস্থাপনা পরিচালক ফরিদ আহমেদ চৌধুরী।
10059 | প্রধান অতিথি ক্রীড়া প্রতিমন্ত্রীর পাশে বিশেষ অতিথি হিসেবে থাকার কথা ছিল ক্রিকেট বোর্ডের সভাপতি সাংসদ আলী আসগার লবীর। | প্রধান অতিথি ক্রীড়া প্রতিমন্ত্রীর পাশে বিশেষ অতিথি হিসেবে থাকার কথা ছিল ক্রিকেট বোর্ডের সভাপতি সাংসদ আলী আসগার লবীর।
10060 | কিন্তু দুর্যোগপূর্ণ আবহাওয়ায় খুলনা থেকে বিমানের ফ্লাইট জটিলতায় তিনি আসতে পারেননি। | কিন্তু দুর্যোগপূর্ণ আবহাওয়ায় খুলনা থেকে বিমানের ফ্লাইট জটিলতায় তিনি আসতে পারেননি।
10061 | তবে তিনি না আসতে পারলেও বোর্ডের সাধারণ সম্পাদক মাহবুবুল আনাম ছিলেন এবং সভাপতির শূন্যতা তিনি শুধু পূরণই করেননি, ঢাকার ক্রিকেটের গুরুত্বপূর্ণ একটা সমস্যা তুলে ধরে তার সমাধানের পথ বের করারও চেষ্টা করেছেন। | তবে তিনি না আসতে পারলেও বোর্ডের সাধারণ সম্পাদক মাহবুবুল আনাম ছিলেন এবং সভাপতির শূন্যতা তিনি শুধু পূরণই করেননি, ঢাকার ক্রিকেটের গুরুত্বপূর্ণ একটা সমস্যা তুলে ধরে তার সমাধানের পথ বের করারও চেষ্টা করেছেন।
10062 | মতিঝিলের ক্লাবপাড়ায় অবস্থান বেশ কয়েকটি বড় ক্লাবের। | মতিঝিলের ক্লাবপাড়ায় অবস্থান বেশ কয়েকটি বড় ক্লাবের।
10063 | কিন্তু তাদের আদি ও অকৃত্রিম সমস্যা প্র্যাকটিস মাঠের অভাব। | কিন্তু তাদের আদি ও অকৃত্রিম সমস্যা প্র্যাকটিস মাঠের অভাব।
10064 | মাহবুব আনাম ক্রীড়া প্রতিমন্ত্রীর কাছে মতিঝিলে একখণ্ড জমি দাবি করে বলেন, সরকার যদি জমি দেয়, তাহলে ক্রিকেট বোর্ডের পক্ষ থেকে আমরা সেটিকে ক্রিকেট উপযোগী করে তুলব, যাতে ক্লাবগুলোর দীর্ঘদিনের সমস্যার সমাধান হয়। | মাহবুব আনাম ক্রীড়া প্রতিমন্ত্রীর কাছে মতিঝিলে একখণ্ড জমি দাবি করে বলেন, সরকার যদি জমি দেয়, তাহলে ক্রিকেট বোর্ডের পক্ষ থেকে আমরা সেটিকে ক্রিকেট উপযোগী করে তুলব, যাতে ক্লাবগুলোর দীর্ঘদিনের সমস্যার সমাধান হয়।
10065 | মাহবুব আনামের চোখে ছিল বাফুফে ভবনের পাশে খালি পড়ে থাকা আড়াই বিঘারও বেশি জমিখণ্ড। | মাহবুব আনামের চোখে ছিল বাফুফে ভবনের পাশে খালি পড়ে থাকা আড়াই বিঘারও বেশি জমিখণ্ড।
10066 | এএফসির গোল প্লাস প্রকল্পের আওতায় ফুটবল একাডেমি গড়ে তুলতে যে জমিটুকু অনেক আগেই জাতীয় ক্রীড়া পরিষদের কাছে চেয়ে রেখেছে ফুটবল ফেডারেশন (বাফুফে)। | এএফসির গোল প্লাস প্রকল্পের আওতায় ফুটবল একাডেমি গড়ে তুলতে যে জমিটুকু অনেক আগেই জাতীয় ক্রীড়া পরিষদের কাছে চেয়ে রেখেছে ফুটবল ফেডারেশন (বাফুফে)।
10067 | কিন্তু ক্রীড়া প্রতিমন্ত্রী ক্রিকেট বোর্ড সাধারণ সম্পাদককে না করে দিলেন কৌশলে। | কিন্তু ক্রীড়া প্রতিমন্ত্রী ক্রিকেট বোর্ড সাধারণ সম্পাদককে না করে দিলেন কৌশলে।
10068 | উল্টো জমি চেয়ে বসেন তিনি, বরং আপনারা আমাকে অন্য জমি (সিটি করপোরেশনের) বের করে দিন, আমি জাতীয় ক্রীড়া পরিষদের পক্ষ থেকে সেই জমিকে সুন্দর মাঠ বানিয়ে দেব। | উল্টো জমি চেয়ে বসেন তিনি, বরং আপনারা আমাকে অন্য জমি (সিটি করপোরেশনের) বের করে দিন, আমি জাতীয় ক্রীড়া পরিষদের পক্ষ থেকে সেই জমিকে সুন্দর মাঠ বানিয়ে দেব।
10069 | তার কথা, এই জমি বিশেষ কোনো ফেডারেশনকে দেওয়া যাবে না। | তার কথা, এই জমি বিশেষ কোনো ফেডারেশনকে দেওয়া যাবে না।
10070 | এটা সবার ব্যবহারের জন্য। | এটা সবার ব্যবহারের জন্য।
10071 | সাধারণ সম্পাদক হিসেবে মাহবুব আনামের লক্ষ্য ক্রিকেটের সামগ্রিক উন্নয়ন। | সাধারণ সম্পাদক হিসেবে মাহবুব আনামের লক্ষ্য ক্রিকেটের সামগ্রিক উন্নয়ন।
10072 | ক্লাবের একটি সমস্যা সমাধানের উদ্যোগ নিয়ে তিনি যথার্থ নেতৃত্বগুণের পরিচয় রাখলেন। | ক্লাবের একটি সমস্যা সমাধানের উদ্যোগ নিয়ে তিনি যথার্থ নেতৃত্বগুণের পরিচয় রাখলেন।
10073 | ক্রীড়া প্রতিমন্ত্রী তাকে হ্যাঁ করলেই সেটি পেত নতুন মাত্রা। | ক্রীড়া প্রতিমন্ত্রী তাকে হ্যাঁ করলেই সেটি পেত নতুন মাত্রা।
10074 | তা অবশ্য হলো না। | তা অবশ্য হলো না।
10075 | তবে নিজে যেহেতু মতিঝিল পাড়ার ক্লাব মোহামেডানের প্রতিনিধি, সুতরাং মতিঝিল পাড়ার পক্ষে কথা তো বলে রাখলেন। | তবে নিজে যেহেতু মতিঝিল পাড়ার ক্লাব মোহামেডানের প্রতিনিধি, সুতরাং মতিঝিল পাড়ার পক্ষে কথা তো বলে রাখলেন।
10076 | ঘুষ কেলেঙ্কারিতে ব্রাজিলের ফুটবল এখনো উত্তপ্ত। | ঘুষ কেলেঙ্কারিতে ব্রাজিলের ফুটবল এখনো উত্তপ্ত!
10077 | এক সপ্তাহের মধ্যে তৃতীয় ব্রাজিলিয়ান রেফারি হিসেবে গ্রেপ্তার করা হয়েছে ভ্যান্ডারলি পোলোলিকে। | এক সপ্তাহের মধ্যে তৃতীয় ব্রাজিলিয়ান রেফারি হিসেবে গ্রেপ্তার করা হয়েছে ভ্যান্ডারলি পোলোলিকে!
10078 | ম্যাচ পাতানোর দায়ে আগের দুজনের রেফারিং ক্যারিয়ার হুমকির মুখে পড়লেও পোলোলির ক্ষেত্রে তেমনটা নয়। | ম্যাচ পাতানোর দায়ে আগের দুজনের রেফারিং ক্যারিয়ার হুমকির মুখে পড়লেও পোলোলির ক্ষেত্রে তেমনটা নয়।
10079 | কারণ বছর সাতেক আগেই তো রেফারিং থেকে অবসর নিয়েছেন তিনি। | কারণ বছর সাতেক আগেই তো রেফারিং থেকে অবসর নিয়েছেন তিনি।
10080 | আসলে ম্যাচ পাতানোতে বাজিকর সংস্থা ও রেফারি পল হোসে দানিলনের মধ্যস্থতাকারী হিসেবে কাজ করার দায়েই গত পরশু তাকে গ্রেপ্তার করা হয়েছে বলে জানিয়েছে পুলিশ। | আসলে ম্যাচ পাতানোতে বাজিকর সংস্থা ও রেফারি পল হোসে দানিলনের মধ্যস্থতাকারী হিসেবে কাজ করার দায়েই গত পরশু তাকে গ্রেপ্তার করা হয়েছে বলে জানিয়েছে পুলিশ।
10081 | যাকে ঘিরে বিতর্কের সূত্রপাত, সেই রেফারি এডিলসন পাহেইরা ডি কারভালহো পাঁচ দিন কেন্দ্রীয় পুলিশ হেফাজতে থাকার পর ছাড়া পেয়েছেন। | যাকে ঘিরে বিতর্কের সূত্রপাত, সেই রেফারি এডিলসন পাহেইরা ডি কারভালহো পাঁচ দিন কেন্দ্রীয় পুলিশ হেফাজতে থাকার পর ছাড়া পেয়েছেন।
10082 | এদিকে ম্যাচ পাতানো বিতর্কের ঝাপটা এসে লেগেছে ব্রাজিলিয়ান ফুটবল কনফেডারেশনে (সিবিএফ)। | এদিকে ম্যাচ পাতানো বিতর্কের ঝাপটা এসে লেগেছে ব্রাজিলিয়ান ফুটবল কনফেডারেশনে (সিবিএফ)।
10083 | ১৯৯৭ সাল থেকে রেফারিজ কমিটির প্রধান হিসেবে কাজ করা আরমান্দো মারকুয়েজ পদত্যাগ করেছেন পরশু। | উনিশ শ সাতানব্বই সাল থেকে রেফারিজ কমিটির প্রধান হিসেবে কাজ করা আরমান্দো মারকুয়েজ পদত্যাগ করেছেন পরশু।
10084 | সিদ্ধান্তটা প্রত্যাশিতই ছিল। | সিদ্ধান্তটা প্রত্যাশিতই ছিল।
10085 | একের পর এক রেফারি ম্যাচ পাতানো কেলেঙ্কারিতে জড়িয়ে পড়ায় ক্রমাগত চাপ বাড়ছিল মারকুয়েজের ওপর। | একের পর এক রেফারি ম্যাচ পাতানো কেলেঙ্কারিতে জড়িয়ে পড়ায় ক্রমাগত চাপ বাড়ছিল মারকুয়েজের ওপর।
10086 | সেই চাপের কাছে নতি স্বীকার করে শেষ পর্যন্ত পদত্যাগই করতে হলো তাকে। | সেই চাপের কাছে নতি স্বীকার করে শেষ পর্যন্ত পদত্যাগই করতে হলো তাকে।
10087 | চাপ রয়েছে সিবিএফের ওপরও। | চাপ রয়েছে সিবিএফের ওপরও।
10088 | কিছু ক্লাব, বিশেষত পয়েন্ট তালিকায় যাদের অবস্থান নিচের দিকে, তারা চাইছে কারভালহোর পরিচালনা করা ম্যাচগুলো আবার আয়োজন করা হোক। | কিছু ক্লাব, বিশেষত পয়েন্ট তালিকায় যাদের অবস্থান নিচের দিকে, তারা চাইছে কারভালহোর পরিচালনা করা ম্যাচগুলো আবার আয়োজন করা হোক।
10089 | এ মৌসুমের ব্রাজিলিয়ান চ্যাম্পিয়নশিপে ১১টি ম্যাচ পরিচালনা করেছেন কারভালহো। | এ মৌসুমের ব্রাজিলিয়ান চ্যাম্পিয়নশিপে এগারোটি ম্যাচ পরিচালনা করেছেন কারভালহো।
10090 | সেগুলো আবার অনুষ্ঠিত হবে কি না, সে সিদ্ধান্ত দেবে ব্রাজিলের ক্রীড়া আদালত। | সেগুলো আবার অনুষ্ঠিত হবে কি না, সে সিদ্ধান্ত দেবে ব্রাজিলের ক্রীড়া আদালত।
10091 | যেসব ক্লাব হুমকি দিয়েছে ব্যাপারটি সিভিল কোর্টে নিয়ে যাওয়ার, তাদের পাল্টা হুঁশিয়ারি দিয়েছেন সিবিএফের প্রেসিডেন্ট রিকার্ডো টিসেরা, যারা সিভিল কোর্টে যাবে, তাদের এমন শাস্তি দেওয়া হবে, যা তারা কখনো ভুলবে না। | যেসব ক্লাব হুমকি দিয়েছে ব্যাপারটি সিভিল কোর্টে নিয়ে যাওয়ার, তাদের পাল্টা হুঁশিয়ারি দিয়েছেন সিবিএফের প্রেসিডেন্ট রিকার্ডো টিসেরা, যারা সিভিল কোর্টে যাবে, তাদের এমন শাস্তি দেওয়া হবে, যা তারা কখনো ভুলবে না।
10092 | পূর্বনির্ধারিত সময়েই চ্যাম্পিয়নশিপ শেষ করার পরিকল্পনার কথাও জানিয়েছেন তিনি, আগের সময়সূচি অনুযায়ী ৪ ডিসেম্বরই প্রতিযোগিতা শেষ হবে। | পূর্বনির্ধারিত সময়েই চ্যাম্পিয়নশিপ শেষ করার পরিকল্পনার কথাও জানিয়েছেন তিনি, আগের সময়সূচি অনুযায়ী চার ডিসেম্বরই প্রতিযোগিতা শেষ হবে।
10093 | ছুটি কাটাতে মহাকাশে ওলসান। | ছুটি কাটাতে মহাকাশে ওলসান!
10094 | মার্কিন ব্যবসায়ী গ্রেগরি ওলসানের মহাকাশ পর্যটন শুরু হয়েছে। | মার্কিন ব্যবসায়ী গ্রেগরি ওলসানের মহাকাশ পর্যটন শুরু হয়েছে।
10095 | দুজন নভোচারী ও তাকে নিয়ে গতকাল শনিবার একটি রুশ সয়ুজ রকেট কাজাকিস্তানের বাইকোনার মহাকাশকেন্দ্র থেকে রওনা হয়েছে। | দুজন নভোচারী ও তাকে নিয়ে গতকাল শনিবার একটি রুশ সয়ুজ রকেট কাজাকিস্তানের বাইকোনার মহাকাশকেন্দ্র থেকে রওনা হয়েছে।
10096 | এ ভ্রমণের জন্য ওলসানকে গুণতে হয়েছে বিপুল অঙ্কের টাকা। | এ ভ্রমণের জন্য ওলসানকে গুণতে হয়েছে বিপুল অঙ্কের টাকা।
10097 | মস্কো সময় গতকাল সকাল ৭টা ৫৫ মিনিটে (গ্রিনিচ মান সময় ভোর ৩টা ৫৫) নীল আকাশে হলুদ ও গোলাপি রঙের আগুনের শিখা ছড়াতে ছড়াতে মহাকাশের উদ্দেশ্যে উড়ে যায় ওলসানকে বহন করা রকেটটি। | মস্কো সময় গতকাল সকাল সাতটা পঞ্চান্ন মিনিটে (গ্রিনিচ মান সময় ভোর তিনটা পঞ্চান্ন) নীল আকাশে হলুদ ও গোলাপি রঙের আগুনের শিখা ছড়াতে ছড়াতে মহাকাশের উদ্দেশ্যে উড়ে যায় ওলসানকে বহন করা রকেটটি।
10098 | ১০ মিনিট পর মহাকাশযানটি কক্ষপথে পৌঁছলে আরোহীরা পৃথিবীতে বার্তা পাঠান, সবকিছু ঠিকঠাকমতো সম্পন্ন হয়েছে। | দশ মিনিট পর মহাকাশযানটি কক্ষপথে পৌঁছলে আরোহীরা পৃথিবীতে বার্তা পাঠান, সবকিছু ঠিকঠাকমতো সম্পন্ন হয়েছে।
10099 | আগামীকাল সোমবার এটি ইন্টারন্যাশনাল মহাকাশ স্টেশনে (আইএসএস) পৌঁছাবে এবং ১০ দিন মহাকাশে থাকবে। | আগামীকাল সোমবার এটি ইন্টারন্যাশনাল মহাকাশ স্টেশনে (আইএসএস) পৌঁছাবে এবং দশ দিন মহাকাশে থাকবে।
10100 | গত শুক্রবার রাতে এক বিদায়ী নৈশভোজে ওলসান বলেন, রকেট উৎক্ষেপণের পর আমি সবচেয়ে খুশি হব। | গত শুক্রবার রাতে এক বিদায়ী নৈশভোজে ওলসান বলেন, রকেট উৎক্ষেপণের পর আমি সবচেয়ে খুশি হব।
10101 | তিনি আরো বলেন, একশ বছর আগে অল্প কিছু সাহসী মানুষ বিমানে চড়ার সৌভাগ্য অর্জন করত। | তিনি আরো বলেন, একশ বছর আগে অল্প কিছু সাহসী মানুষ বিমানে চড়ার সৌভাগ্য অর্জন করত।
10102 | কিন্তু আজকাল বিমানভ্রমণ একেবারেই ডালভাত হয়ে গেছে। | কিন্তু আজকাল বিমানভ্রমণ একেবারেই ডালভাত হয়ে গেছে।
10103 | মহাকাশভ্রমণও একদিন এ রকম ডালভাত হয়ে যাবে। | মহাকাশভ্রমণও একদিন এ রকম ডালভাত হয়ে যাবে।
10104 | অনেক শৌখিন পর্যটক তো এখনই মহাকাশভ্রমণের জন্য মুখিয়ে আছেন। | অনেক শৌখিন পর্যটক তো এখনই মহাকাশভ্রমণের জন্য মুখিয়ে আছেন।
